Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Germany,Price / Germany,Compare At Price / Germany,Included / European Union,Price / European Union,Compare At Price / European Union,Included / International,Price / International,Compare At Price / International,Included / Rest,Price / Rest,Compare At Price / Rest,Status
charge-5-vendor,JBL charge 5 Vendor,<p><span><strong>Every Purchase Includes:</strong></span> Free PDF with a Step for Step<span> </span><strong>Tutorial</strong><span> </span>on how to sell these. This tutorial is very valuable and will<span> </span><strong>definitely</strong><span> </span><strong>generate profit</strong><span> </span>if followed</p>,Resell-Depot,Uncategorized,"","",true,Color,Black,,,,,,,,"",0.0,,-6,deny,manual,14.95,29.95,false,false,"",https://cdn.shopify.com/s/files/1/0855/1576/4040/files/JBL_CHARGE5_HERO_BLACK_0046_x1_55e1907d-f60e-4c12-8585-cded54424f28.webp?v=1729621597,1,"",false,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/JBL_CHARGE5_HERO_BLACK_0046_x1_55e1907d-f60e-4c12-8585-cded54424f28.webp?v=1729621597,kg,,,true,,,true,,,true,,,true,,,active
charge-5-vendor,,,,,,,,,Red,,,,,,,,"",0.0,,0,deny,manual,14.95,29.95,false,false,"",https://cdn.shopify.com/s/files/1/0855/1576/4040/files/JBL_CHARGE5_HERO_RED_0029_x2_057649e2-efa2-4a23-8d41-a37a4683266f.webp?v=1729621597,2,"",,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/JBL_CHARGE5_HERO_RED_0029_x2_057649e2-efa2-4a23-8d41-a37a4683266f.webp?v=1729621597,kg,,,,,,,,,,,,,,,
flip-6-vendor-copy,JBL Flip 6 Vendor,<p><span><strong>Every Purchase Includes:</strong></span> Free PDF with a Step for Step<span> </span><strong>Tutorial</strong><span> </span>on how to sell these. This tutorial is very valuable and will<span> </span><strong>definitely</strong><span> </span><strong>generate profit</strong><span> </span>if followed</p>,Resell-Depot,Uncategorized,"","",true,Color,Black,,,,,,,,"",0.0,,-6,deny,manual,12.95,29.95,false,false,"",https://cdn.shopify.com/s/files/1/0855/1576/4040/files/6_JBL_FLIP_6_3_4_LEFT_BLACK_x1-500x500-1.png?v=1729621592,1,"",false,,,,,,,,,,,,,,'93,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/6_JBL_FLIP_6_3_4_LEFT_BLACK_x1-500x500-1.png?v=1729621592,kg,,,true,,,true,,,true,,,true,,,active
flip-6-vendor-copy,,,,,,,,,Blue,,,,,,,,"",0.0,,0,deny,manual,12.95,29.95,false,false,"",https://cdn.shopify.com/s/files/1/0855/1576/4040/files/2_JBL_FLIP6_3_4_RIGHT_BLUE_30192_x1_3d904c40-be44-4952-8add-d0422d834572.webp?v=1729621592,2,"",,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/2_JBL_FLIP6_3_4_RIGHT_BLUE_30192_x1_3d904c40-be44-4952-8add-d0422d834572.webp?v=1729621592,kg,,,,,,,,,,,,,,,
pulse-5-vendor,JBL pulse 5 Vendor,<p><span><strong>Every Purchase Includes:</strong></span> Free PDF with a Step for Step<span> </span><strong>Tutorial</strong><span> </span>on how to sell these. This tutorial is very valuable and will<span> </span><strong>definitely</strong><span> </span><strong>generate profit</strong><span> </span>if followed</p>,Resell-Depot,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,,-1,deny,manual,17.95,32.95,false,false,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/1_JBL_PULSE_5_HERO_34364_x2_406d3d40-68f9-4482-a929-ba5cf1d5b3d0.webp?v=1729621587,1,"",false,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
jrdn-1,Jordan 1 Vendor,<p><span><strong>Every Purchase Includes:</strong></span> Free PDF with a Step for Step<span> </span><strong>Tutorial</strong><span> </span>on how to sell these. This tutorial is very valuable and will<span> </span><strong>definitely</strong><span> </span><strong>generate profit</strong><span> </span>if followed</p>,Resell-Depot,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,17.95,24.95,false,false,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/DesignohneTitel-2023-04-17T143851.017.webp?v=1729621585,1,"",false,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
lv-belt-vendor,LV Belt Vendor,<p><span><strong>Every Purchase Includes:</strong></span> Free PDF with a Step for Step<span> </span><strong>Tutorial</strong><span> </span>on how to sell these. This tutorial is very valuable and will<span> </span><strong>definitely</strong><span> </span><strong>generate profit</strong><span> </span>if followed</p>,Resell-Depot,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,,-9,deny,manual,12.95,22.95,false,false,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/louis-vuitton-lv-initiales-wendegurtel-30-mm--M0565T_PM2_Frontview.webp?v=1729621580,1,"",false,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
monc-maya-jacket,Moncler Maya Jacket Vendor,<p><span><strong>Every Purchase Includes:</strong></span> Free PDF with a Step for Step<span> </span><strong>Tutorial</strong><span> </span>on how to sell these. This tutorial is very valuable and will<span> </span><strong>definitely</strong><span> </span><strong>generate profit</strong><span> </span>if followed</p>,Resell-Depot,Uncategorized,"","",true,Size,XS,,,,,,,,"",0.0,,-1,deny,manual,24.95,54.99,false,false,"",https://cdn.shopify.com/s/files/1/0855/1576/4040/files/07e84d_6d869f53bc43432a820d01b544d5a46b_mv2.webp?v=1729621576,1,"",false,,,,,,,,,,,,,,'81,,kg,,,true,,,true,,,true,,,true,,,active
monc-maya-jacket,,,,,,,,,S,,,,,,,,"",0.0,,-7,deny,manual,24.95,54.99,false,false,"",,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,
monc-maya-jacket,,,,,,,,,M,,,,,,,,"",0.0,,-22,deny,manual,24.95,54.99,false,false,"",,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,
monc-maya-jacket,,,,,,,,,XL,,,,,,,,"",0.0,,-16,deny,manual,24.95,54.99,false,false,"",,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,
monc-maya-jacket,,,,,,,,,XXL,,,,,,,,"",0.0,,-2,deny,manual,24.95,54.99,false,false,"",,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,
pradaa-glasses-vendor,Prada Glasses Vendor,<p><span><strong>Every Purchase Includes:</strong></span> Free PDF with a Step for Step<span> </span><strong>Tutorial</strong><span> </span>on how to sell these. This tutorial is very valuable and will<span> </span><strong>definitely</strong><span> </span><strong>generate profit</strong><span> </span>if followed</p>,Resell-Depot,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,,-18,deny,manual,6.95,19.95,false,false,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/prada-17ws-1ab5s0-49-20.jpg?v=1729621573,1,"",false,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
galaxyy-buds,Galaxy  Buds Vendor,<p><span><strong>Every Purchase Includes:</strong></span> Free PDF with a Step for Step<span> </span><strong>Tutorial</strong><span> </span>on how to sell these. This tutorial is very valuable and will<span> </span><strong>definitely</strong><span> </span><strong>generate profit</strong><span> </span>if followed</p>,Resell-Depot,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,,-2,deny,manual,14.95,24.95,false,false,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/Samsung-Galaxy-Buds-Pro-Silver-1_1.png?v=1729621571,1,"",false,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
s23-ultra-vendor,s23 Ultra Vendor,<p><span><strong>Best  Margin Product!<br><br>Every Purchase Includes:</strong></span> Free PDF with a Step for Step<span> </span><strong>Tutorial</strong><span> </span>on how to sell these. This tutorial is very valuable and will<span> </span><strong>definitely</strong><span> </span><strong>generate profit</strong><span> </span>if followed</p>,Resell-Depot,Uncategorized,"","",true,Color,Black,,Storage,256GB,,,,,"",0.0,,0,deny,manual,84.99,119.95,false,false,"",https://cdn.shopify.com/s/files/1/0855/1576/4040/files/full_body_housing_for_samsung_galaxy_s23_ultra_black_maxbhi_com_54246.jpg?v=1729621568,1,"",false,,,,,,,,,,,,,,'97,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/full_body_housing_for_samsung_galaxy_s23_ultra_black_maxbhi_com_54246.jpg?v=1729621568,kg,,,true,,,true,,,true,,,true,,,active
s23-ultra-vendor,,,,,,,,,Black,,,512GB,,,,,"",0.0,,0,deny,manual,89.99,119.95,false,false,"",https://cdn.shopify.com/s/files/1/0855/1576/4040/files/back.png?v=1729621568,2,"",,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/full_body_housing_for_samsung_galaxy_s23_ultra_black_maxbhi_com_54246.jpg?v=1729621568,kg,,,,,,,,,,,,,,,
s23-ultra-vendor,,,,,,,,,Black,,,1024GB,,,,,"",0.0,,0,deny,manual,99.99,119.95,false,false,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/full_body_housing_for_samsung_galaxy_s23_ultra_black_maxbhi_com_54246.jpg?v=1729621568,kg,,,,,,,,,,,,,,,
s23-ultra-vendor,,,,,,,,,Pink,,,256GB,,,,,"",0.0,,0,deny,manual,84.99,119.95,false,false,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/back.png?v=1729621568,kg,,,,,,,,,,,,,,,
s23-ultra-vendor,,,,,,,,,Pink,,,512GB,,,,,"",0.0,,0,deny,manual,89.99,119.95,false,false,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/back.png?v=1729621568,kg,,,,,,,,,,,,,,,
s23-ultra-vendor,,,,,,,,,Pink,,,1024GB,,,,,"",0.0,,0,deny,manual,99.99,119.95,false,false,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/back.png?v=1729621568,kg,,,,,,,,,,,,,,,
sm7b-vendor,Shure SM7B Vendor,<p><span><strong>Every Purchase Includes:</strong></span> Free PDF with a Step for Step<span> </span><strong>Tutorial</strong><span> </span>on how to sell these. This tutorial is very valuable and will<span> </span><strong>definitely</strong><span> </span><strong>generate profit</strong><span> </span>if followed</p>,Resell-Depot,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,,-3,deny,manual,29.95,59.95,false,false,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/5aadccd49c5b80ef51875c2816611e10.webp?v=1729621563,1,"",false,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
phone-15-vendor,Iphone 15 Vendor,<p><span><strong>Every Purchase Includes:</strong></span> Free PDF with a Step for Step<span> </span><strong>Tutorial</strong><span> </span>on how to sell these. This tutorial is very valuable and will<span> </span><strong>definitely</strong><span> </span><strong>generate profit</strong><span> </span>if followed</p>,Resell-Depot,Uncategorized,"","",true,Color,Black,,Storage,128GB,,,,,"",0.0,,-2,deny,manual,79.99,99.99,false,false,"",https://cdn.shopify.com/s/files/1/0855/1576/4040/files/Final_iPhone-14-Pro-Split-Full-Wrap-Vinyl-Skin-Design-Mockup-Front-Back-Angled-View_7c8b1dba-0ddc-4f69-b26e-160550b46b97.webp?v=1729621558,1,"",false,,,,,,,,,,,,,,'87,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/Final_iPhone-14-Pro-Split-Full-Wrap-Vinyl-Skin-Design-Mockup-Front-Back-Angled-View_7c8b1dba-0ddc-4f69-b26e-160550b46b97.webp?v=1729621558,kg,,,true,,,true,,,true,,,true,,,active
phone-15-vendor,,,,,,,,,Black,,,256GB,,,,,"",0.0,,-1,deny,manual,84.99,99.99,false,false,"",https://cdn.shopify.com/s/files/1/0855/1576/4040/files/65038654434d0-iPhone15ProNaturaltitaniumpng.png?v=1729621558,2,"",,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/Final_iPhone-14-Pro-Split-Full-Wrap-Vinyl-Skin-Design-Mockup-Front-Back-Angled-View_7c8b1dba-0ddc-4f69-b26e-160550b46b97.webp?v=1729621558,kg,,,,,,,,,,,,,,,
phone-15-vendor,,,,,,,,,Black,,,512GB,,,,,"",0.0,,-2,deny,manual,94.99,99.99,false,false,"",https://cdn.shopify.com/s/files/1/0855/1576/4040/files/iPhone_15_Plus_iPhone_15_Green_Combo_Screen__WWEN_800x_aca2ece5-6db5-4405-ad1f-f1445bdfa772.webp?v=1729621558,3,"",,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/Final_iPhone-14-Pro-Split-Full-Wrap-Vinyl-Skin-Design-Mockup-Front-Back-Angled-View_7c8b1dba-0ddc-4f69-b26e-160550b46b97.webp?v=1729621558,kg,,,,,,,,,,,,,,,
phone-15-vendor,,,,,,,,,Gray,,,128GB,,,,,"",0.0,,-1,deny,manual,79.99,99.99,false,false,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/65038654434d0-iPhone15ProNaturaltitaniumpng.png?v=1729621558,kg,,,,,,,,,,,,,,,
phone-15-vendor,,,,,,,,,Gray,,,256GB,,,,,"",0.0,,0,deny,manual,84.99,99.99,false,false,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/65038654434d0-iPhone15ProNaturaltitaniumpng.png?v=1729621558,kg,,,,,,,,,,,,,,,
phone-15-vendor,,,,,,,,,Gray,,,512GB,,,,,"",0.0,,-1,deny,manual,94.99,99.99,false,false,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/65038654434d0-iPhone15ProNaturaltitaniumpng.png?v=1729621558,kg,,,,,,,,,,,,,,,
phone-15-vendor,,,,,,,,,Green,,,128GB,,,,,"",0.0,,0,deny,manual,79.99,99.99,false,false,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/iPhone_15_Plus_iPhone_15_Green_Combo_Screen__WWEN_800x_aca2ece5-6db5-4405-ad1f-f1445bdfa772.webp?v=1729621558,kg,,,,,,,,,,,,,,,
phone-15-vendor,,,,,,,,,Green,,,256GB,,,,,"",0.0,,0,deny,manual,84.99,99.99,false,false,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/iPhone_15_Plus_iPhone_15_Green_Combo_Screen__WWEN_800x_aca2ece5-6db5-4405-ad1f-f1445bdfa772.webp?v=1729621558,kg,,,,,,,,,,,,,,,
phone-15-vendor,,,,,,,,,Green,,,512GB,,,,,"",0.0,,0,deny,manual,94.99,99.99,false,false,"",,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0855/1576/4040/files/iPhone_15_Plus_iPhone_15_Green_Combo_Screen__WWEN_800x_aca2ece5-6db5-4405-ad1f-f1445bdfa772.webp?v=1729621558,kg,,,,,,,,,,,,,,,
all-🍎-vendors-bundle,All Apple Vendors Bundle,"<p>All 🍎 Vendors from our Site for a Big Discount</p>
<p><span><strong>Every Purchase Includes:</strong></span> Free PDF with a Step for Step<span> </span><strong>Tutorial</strong><span> </span>on how to sell these. This tutorial is very valuable and will<span> </span><strong>definitely</strong><span> </span><strong>generate profit</strong><span> </span>if followed</p>",Resell-Depot,Uncategorized,"","",true,Title,Default Title,,,,,,,,"",0.0,,-9,deny,manual,39.95,99.95,false,false,"",https://cdn.shopify.com/s/files/1/0855/1576/4040/files/Applevendors.jpg?v=1729621551,1,"",false,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
all-clothing-accessories-bundle,All Clothing/accessories Bundle,"<p>Includes Pradaa Glasses, Monc Maya jacket, AF 1, Jrdn 1 and LV Belt vendors.<br>Save alot of Money and test all these vendors on your first purchase</p>
<p><span><strong>Every Purchase Includes:</strong></span> Free PDF with a Step for Step<span> </span><strong>Tutorial</strong><span> </span>on how to sell these. This tutorial is very valuable and will<span> </span><strong>definitely</strong><span> </span><strong>generate profit</strong><span> </span>if followed</p>",Resell-Depot,Apparel & Accessories > Clothing > Outfit Sets,"","",true,Title,Default Title,,,,,,,,"",0.0,,-3,deny,manual,39.95,99.95,false,false,"",https://cdn.shopify.com/s/files/1/0855/1576/4040/files/clothingbildneu.jpg?v=1729621548,1,"",false,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
all-speaker-vendor-bundle,All Speaker Vendor Bundle,"<p>Includes Charge 5, Flip 6 and Pulse 5</p>
<p><span><strong>Every Purchase Includes:</strong></span> Free PDF with a Step for Step<span> </span><strong>Tutorial</strong><span> </span>on how to sell these. This tutorial is very valuable and will<span> </span><strong>definitely</strong><span> </span><strong>generate profit</strong><span> </span>if followed</p>",Resell-Depot,Uncategorized,"","",true,Title,Default Title,,,,,,,,"",0.0,,-1,deny,manual,29.95,39.95,false,false,"",https://cdn.shopify.com/s/files/1/0855/1576/4040/files/Nigga.jpg?v=1729621544,1,"",false,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
all-trending-vendors-bundle,All Trending Vendors Bundle,"<p>Includes s23 ultra, galaxyy buds, SM7B and supersonic dryer Vendors.<br>The best ones to resell at the moment. Updated weekly<br><br><span><strong>Every Purchase Includes:</strong></span> Free PDF with a Step for Step<span> </span><strong>Tutorial</strong><span> </span>on how to sell these. This tutorial is very valuable and will<span> </span><strong>definitely</strong><span> </span><strong>generate profit</strong><span> </span>if followed<br></p>",Resell-Depot,Business & Industrial > Advertising & Marketing,"","",true,Title,Default Title,,,,,,,,"",0.0,,-1,deny,manual,69.95,149.95,false,false,"",https://cdn.shopify.com/s/files/1/0855/1576/4040/files/trendingbild.jpg?v=1729621541,1,"",false,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
all-vendors-bundle-save-75,All Vendors Bundle (Save 75%),"<p>Get Everything from our Site once so you can try everything and then decide what you want to sell its an one time offer wich and you save yourself alot of money instead of buying everything seperately. This also includes the R3ceipt Generator!</p>",Resell-Depot,Electronics > Electronics Accessories > Computer Components > Computer Starter Kits,"","",true,Title,Default Title,,,,,,,,"",0.0,,-1,deny,manual,99.95,199.95,false,false,"",https://cdn.shopify.com/s/files/1/0855/1576/4040/files/Allvendorsbild.jpg?v=1729621537,1,"",false,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
